id,name,age,type,profile,round,choice
1,майбутні,6-7,Alternative humanitarian,школа,1,5
1,майбутні,6-7,Alternative humanitarian,школа,1,5
1,майбутні,6-7,Alternative humanitarian,школа,1,6
1,майбутні,6-7,Alternative humanitarian,школа,1,49
1,майбутні,6-7,Alternative humanitarian,школа,1,61
1,майбутні,6-7,Alternative humanitarian,школа,1,70
1,майбутні,6-7,Alternative humanitarian,школа,1,78
1,майбутні,6-7,Alternative humanitarian,школа,1,95
1,майбутні,6-7,Alternative humanitarian,школа,1,99
1,майбутні,6-7,Alternative humanitarian,школа,1,99
1,майбутні,6-7,Alternative humanitarian,школа,1,100
1,майбутні,6-7,Alternative humanitarian,школа,1,100
1,майбутні,6-7,Alternative humanitarian,школа,1,100
1,майбутні,6-7,Alternative humanitarian,школа,2,4
1,майбутні,6-7,Alternative humanitarian,школа,2,3
1,майбутні,6-7,Alternative humanitarian,школа,2,5
1,майбутні,6-7,Alternative humanitarian,школа,2,3
1,майбутні,6-7,Alternative humanitarian,школа,2,1
1,майбутні,6-7,Alternative humanitarian,школа,2,2
1,майбутні,6-7,Alternative humanitarian,школа,2,4
1,майбутні,6-7,Alternative humanitarian,школа,2,3
1,майбутні,6-7,Alternative humanitarian,школа,2,3
1,майбутні,6-7,Alternative humanitarian,школа,2,4
1,майбутні,6-7,Alternative humanitarian,школа,2,4
1,майбутні,6-7,Alternative humanitarian,школа,2,11
1,майбутні,6-7,Alternative humanitarian,школа,3,3
1,майбутні,6-7,Alternative humanitarian,школа,3,2
1,майбутні,6-7,Alternative humanitarian,школа,3,1
1,майбутні,6-7,Alternative humanitarian,школа,3,1
1,майбутні,6-7,Alternative humanitarian,школа,3,2
1,майбутні,6-7,Alternative humanitarian,школа,3,9
1,майбутні,6-7,Alternative humanitarian,школа,3,7
1,майбутні,6-7,Alternative humanitarian,школа,3,2
1,майбутні,6-7,Alternative humanitarian,школа,3,2
1,майбутні,6-7,Alternative humanitarian,школа,3,2
1,майбутні,6-7,Alternative humanitarian,школа,3,2
1,майбутні,6-7,Alternative humanitarian,школа,3,4
1,майбутні,6-7,Alternative humanitarian,школа,3,3
2,цифра,6,Alternative mathematical,школа,1,50
2,цифра,6,Alternative mathematical,школа,1,45
2,цифра,6,Alternative mathematical,школа,1,51
2,цифра,6,Alternative mathematical,школа,1,32
2,цифра,6,Alternative mathematical,школа,1,26
2,цифра,6,Alternative mathematical,школа,1,33
2,цифра,6,Alternative mathematical,школа,1,50
2,цифра,6,Alternative mathematical,школа,1,45
2,цифра,6,Alternative mathematical,школа,1,49
2,цифра,6,Alternative mathematical,школа,1,57
2,цифра,6,Alternative mathematical,школа,1,20
2,цифра,6,Alternative mathematical,школа,1,3
2,цифра,6,Alternative mathematical,школа,1,33
2,цифра,6,Alternative mathematical,школа,1,77
2,цифра,6,Alternative mathematical,школа,1,50
2,цифра,6,Alternative mathematical,школа,1,29
2,цифра,6,Alternative mathematical,школа,1,78
2,цифра,6,Alternative mathematical,школа,2,24
2,цифра,6,Alternative mathematical,школа,2,24
2,цифра,6,Alternative mathematical,школа,2,34
2,цифра,6,Alternative mathematical,школа,2,30
2,цифра,6,Alternative mathematical,школа,2,27
2,цифра,6,Alternative mathematical,школа,2,18
2,цифра,6,Alternative mathematical,школа,2,27
2,цифра,6,Alternative mathematical,школа,2,30
2,цифра,6,Alternative mathematical,школа,2,27
2,цифра,6,Alternative mathematical,школа,2,17
2,цифра,6,Alternative mathematical,школа,2,14
2,цифра,6,Alternative mathematical,школа,2,18
2,цифра,6,Alternative mathematical,школа,2,18
2,цифра,6,Alternative mathematical,школа,2,29
2,цифра,6,Alternative mathematical,школа,2,27
2,цифра,6,Alternative mathematical,школа,2,26
3,прозорро,дорослі,Adults,,1,24
3,прозорро,дорослі,Adults,,1,13
