id,name,age,type,profile,game,,choice
1,коледж,11,TechSchool,технічна,3,,50
1,коледж,11,TechSchool,технічна,3,,1
1,коледж,11,TechSchool,технічна,3,,1
1,коледж,11,TechSchool,технічна,3,,77
1,коледж,11,TechSchool,технічна,3,,33
1,коледж,11,TechSchool,технічна,3,,33
1,коледж,11,TechSchool,технічна,3,,1
1,коледж,11,TechSchool,технічна,3,,100
1,коледж,11,TechSchool,технічна,3,,100
1,коледж,11,TechSchool,технічна,3,,77
1,коледж,11,TechSchool,технічна,3,,1
1,коледж,11,TechSchool,технічна,3,,69
1,коледж,11,TechSchool,технічна,3,,18
1,коледж,11,TechSchool,технічна,1,,24
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,78
1,коледж,11,TechSchool,технічна,1,,10
1,коледж,11,TechSchool,технічна,1,,1
1,коледж,11,TechSchool,технічна,1,,66
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,77
1,коледж,11,TechSchool,технічна,1,,50
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,78
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,2
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,1
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,1
1,коледж,11,TechSchool,технічна,1,,1
1,коледж,11,TechSchool,технічна,1,,100
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,1
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,1
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
1,коледж,11,TechSchool,технічна,1,,69
